Symbol,CompanyName,Exchange,Industry,Website,Description,CEO,IssueType,Sector
"APTI","Apptio Inc.","NASDAQ Global Market","Application Software","http://www.apptio.com","Apptio Inc develops and sells Technology Business Management or TGM solutions. Its cloud-based platform and SaaS applications enable IT leaders to analyze, optimize and plan technology investment and benchmark financial and operational performance.","Sachin Gupta","cs","Technology"
"APTS","Preferred Apartment Communities Inc.","New York Stock Exchange","REITs","http://www.pacapts.com","Preferred Apartment Communities Inc acquires and operates multifamily properties in select targeted markets throughout the United States. Its business segments are multifamily communities, real estate related financing, and retail.","Daniel M. Dupree","cs","Real Estate"
"APTV","Aptiv PLC","New York Stock Exchange","Autos","http://www.aptiv.com","Aptiv PLC primarily supplies components and systems that are used to build a vehicle's electrical system. The company also provides body controls, infotainment and connectivity systems for the automobile industry.","Kevin P. Clark","cs","Consumer Cyclical"
"APY","Apergy Corporation","New York Stock Exchange","Oil & Gas - Services","http://www.apergy.com","Apergy Corp engages in providing engineered technologies that help companies drill for and produce oil and gas.","Sivasankaran Somasundaram","cs","Energy"
"AQ","Aquantia Corp.","New York Stock Exchange","Semiconductors","https://www.aquantia.com","Aquantia Corp is a fabless semiconductor company. It is engaged in design, development and sale of network communication integrated circuits for Ethernet connectivity in the data center, enterprise infrastructure and access markets.","Faraj Aalaei","cs","Technology"
"AQUA","Evoqua Water Technologies Corp.","New York Stock Exchange","Industrial Products","http://www.evoqua.com","Evoqua Water Technologies Corp is a provider of mission critical water treatment solutions. It operates in three segments namely: Industrial, Municipal and Products.","","cs","Industrials"
"AR","Antero Resources Corporation","New York Stock Exchange","Oil & Gas - E&P","http://www.anteroresources.com","Antero Resources Corp is an independent oil and natural gas company, which acquires, explores, produces, and develops natural gas, natural gas liquids, and oil properties in the United States.","Paul M. Rady","cs","Energy"
"ARA","American Renal Associates Holdings Inc","New York Stock Exchange","Medical Diagnostics & Research","http://www.americanrenal.com","American Renal Associates Holdings Inc through its subsidiary is engaged in providing kidney dialysis services for patients suffering from chronic kidney failure, also known as end stage renal disease, or ESRD.","Joseph A. Carlucci","cs","Healthcare"
"ARAY","Accuray Incorporated","Nasdaq Global Select","Medical Devices","http://www.accuray.com","Accuray Inc is a radiation oncology company that develops, manufactures, sells and supports precise treatment solutions. Its products includes the CyberKnife Systems and the TomoTherapy Systems.","Joshua H. Levine","cs","Healthcare"
"ARCB","ArcBest Corporation","Nasdaq Global Select","Transportation & Logistics","https://www.arcb.com","ArcBest Corp is a transportation company. The company provides freight transportation services and solutions. It operates through three segments namely Asset-Based, ArcBest and FleetNet.","Judy R. McReynolds","cs","Industrials"
"ARCH","Arch Coal Inc. Class A","New York Stock Exchange","Coal","http://www.archcoal.com","Arch Coal Inc is a coal producer in the United States, which sells coal to power plants, steel mills and industrial facilities.","John W. Eaves","cs","Basic Materials"
"ARD","Ardagh Group S.A.","New York Stock Exchange","Packaging & Containers","http://www.ardaghgroup.com","Ardagh Group SA supplies rigid packaging solutions including metal and glass containers for food and beverage markets. Its end users include beer, wine, spirits, soft drink, energy drinks, juices, flavored waters, food, seafood and nutrition industries.","Paul Coulson","cs","Consumer Cyclical"
"ARDX","Ardelyx Inc.","NASDAQ Global Market","Biotechnology","http://www.ardelyx.com","Ardelyx Inc is a biotechnology company focused on the discovery, development, and commercialization of molecule and polymeric therapeutics to treat the gastrointestinal tract and cardiorenal diseases.","Michael G. Raab","cs","Healthcare"
"ARE","Alexandria Real Estate Equities Inc.","New York Stock Exchange","REITs","http://www.are.com","Alexandria Real Estate Equities Inc is an urban office REIT engaged in life science and technology campuses through ownership, operation, management and selective redevelopment and development of properties in office/laboratory space.","Peter Moglia / Stephen A. Richardson","cs","Real Estate"
"AREX","Approach Resources Inc.","Nasdaq Global Select","Oil & Gas - E&P","http://www.approachresources.com","Approach Resources Inc is an independent energy company. It is engaged in the exploration, development, production and acquisition of unconventional oil and gas reserves in the Midland Basin of the greater Permian Basin in West Texas.","J. Ross Craft","cs","Energy"
"ARGO","Argo Group International Holdings Ltd.","New York Stock Exchange","Insurance - Property & Casualty","http://www.argolimited.com","Argo Group International Holdings Ltd is an international underwriter of specialty insurance and reinsurance products in the property and casualty market.","Mark E. Watson","cs","Financial Services"
"ARI","Apollo Commercial Real Estate Finance Inc","New York Stock Exchange","REITs","http://www.apolloreit.com","Apollo Commercial Real Estate Finance Inc invests, acquires, and manages various real-estate related debt investments across the United States. The subordinate loans and first-mortgage loans account for the vast majority of the portfolio on a cost basis.","Stuart A. Rothstein","cs","Real Estate"
"ARII","American Railcar Industries Inc.","Nasdaq Global Select","Transportation & Logistics","http://www.americanrailcar.com","American Railcar Industries Inc designs, manufactures and sells special, customized and general-purpose railcars and components for the North American railcar and industrial markets. Its segments are manufacturing, railcar leasing and railcar services.","John O¿Bryan","cs","Industrials"
"ARL","American Realty Investors Inc.","New York Stock Exchange","Real Estate Services","http://www.amrealtytrust.com","American Realty Investors Inc acquires, develops and owns income-producing residential and commercial real estate properties.","Daniel J. Moos","cs","Real Estate"
"ARMK","Aramark","New York Stock Exchange","Restaurants","http://www.aramark.com","Aramark is engaged in the restaurant business. Apart from its core focus on providing food services, Aramark engages in providing facilities and uniform services. It caters to education, healthcare and leisure markets.","Eric J. Foss","cs","Consumer Cyclical"
"ARNA","Arena Pharmaceuticals Inc.","Nasdaq Global Select","Biotechnology","http://www.arenapharm.com","Arena Pharmaceuticals Inc is a biopharmaceutical company. The Company is engaged in discovering, developing and commercializing novel drugs that target G protein-coupled receptors, or GPCRs, to address unmet medical needs.","Amit D. Munshi","cs","Healthcare"
"ARNC","Arconic Inc.","New York Stock Exchange","Industrial Products","https://www.arconic.com","Arconic Inc is engaged in manufacturing value-added aluminum and specialty metals products for a wide variety of industrial end markets, including aerospace and defense, building and construction, and automotive.","Charles P. Blankenship","cs","Industrials"
"AROC","Archrock Inc.","New York Stock Exchange","Oil & Gas - Services","http://www.archrock.com","Archrock Inc opeartes in the U.S. natural gas contract operations services business and provides natural gas compression services to customers in the oil and natural gas industry throughout the U.S., and supplies aftermarket services.","D. Bradley Childers","cs","Energy"
"AROW","Arrow Financial Corporation","Nasdaq Global Select","Banks","http://www.arrowfinancial.com","Arrow Financial Corp is a holding company. It provides various advisory and administrative services and coordinates the general policies and operation of the banks as well as online and mobile banking, mortgages, commercial loans, investments and other.","Thomas J. Murphy","cs","Financial Services"
"ARQL","ArQule Inc.","NASDAQ Global Market","Biotechnology","http://www.arqule.com","Arqule Inc is a biopharmaceutical company, engaged in the research and development of therapeutics to treat cancers and rare diseases.","Paolo Pucci","cs","Healthcare"
"ARR","ARMOUR Residential REIT Inc.","New York Stock Exchange","REITs","http://www.armourreit.com","ARMOUR Residential REIT Inc invests in and manages a leveraged portfolio of residential mortgage backed securities. It invests in residential mortgage backed securities issued or guaranteed by a United States Government-sponsored entity.","Jeffrey J. Zimmer / Scott J. Ulm","cs","Real Estate"
"ARRS","ARRIS International plc","Nasdaq Global Select","Communication Equipment","http://www.arris.com","ARRIS International PLC is a media entertainment and data communications solutions provider. It provides Customer Premises Equipment including set-top, gateway, DSL and cable modem; and Network and Cloud including video infrastructure.","Bruce W. McClelland","cs","Technology"
"ARRY","Array BioPharma Inc.","NASDAQ Global Market","Biotechnology","http://www.arraybiopharma.com","Array BioPharma Inc is a biopharmaceutical company. It is engaged in the discovery, development and commercialization of targeted small molecule drugs to treat patients afflicted with cancer.","Ron Squarer","cs","Healthcare"
"ARTNA","Artesian Resources Corporation Class A Non-Voting Common Stock","Nasdaq Global Select","Utilities - Regulated","http://www.artesianwater.com","Artesian Resources Corp through its subsidiaries offers water, wastewater and other services on the Delmarva Peninsula. It distributes water for public and private fire protection, to residential, commercial, industrial, municipal and utility customers.","Dian C. Taylor","cs","Utilities"
"ARW","Arrow Electronics Inc.","New York Stock Exchange","Computer Hardware","http://www.arrow.com","Arrow Electronics Inc is a value-added distributor of electronic components, software, and data center infrastructure hardware. The company primarily sells semiconductors, software, storage, and servers to electronic equipment manufacturers and resellers.","Michael J. Long","cs","Technology"
"ARWR","Arrowhead Pharmaceuticals Inc.","Nasdaq Global Select","Biotechnology","http://www.arrowheadpharma.com","Arrowhead Pharmaceuticals Inc is a biotechnology company. It is engaged in the development of medicine to treat diseases such as hepatitis B, and thrombosis with a genetic origin, primarily divided by the overproduction of one or more proteins.","Christopher Anzalone","cs","Healthcare"
"ASB","Associated Banc-Corp","New York Stock Exchange","Banks","http://www.associatedbank.com","Associated Banc-Corp is a commercial bank holding company. It provides banking and related financial services to consumer and commercial customers.","Philip B. Flynn","cs","Financial Services"
"ASC","Ardmore Shipping Corporation","New York Stock Exchange","Transportation & Logistics","http://www.ardmoreshipping.com","Ardmore Shipping Corp owns and operates fleet of medium size product and chemical tankers to provide seaborne transportation of petroleum products and chemicals worldwide.","Anthony Gurnee","cs","Industrials"
"ASGN","ASGN Incorporated","New York Stock Exchange","Employment Services","https://www.asgn.com","ASGN Inc, formerly On Assignment Inc provides skilled and professionals in the growing life sciences, healthcare, and technology sectors. The company's operating business segments are Apex and Oxford.","Peter T. Dameris","cs","Industrials"
"ASH","Ashland Global Holdings Inc.","New York Stock Exchange","Chemicals","http://www.ashland.com","Ashland Global Holdings Inc is engaged in the chemical industry. Its chemical based products find application in a diverse range of industries.","","cs","Basic Materials"
"ASIX","AdvanSix Inc.","New York Stock Exchange","Chemicals","http://www.advansix.com","AdvanSix Inc manufactures Nylon 6, a polymer resin used to produce engineered plastics, fibers, filaments & films that are used in end-products as automotive & electronic components, carpets, sports apparel, fishing nets & food and industrial packaging.","Erin N. Kane","cs","Basic Materials"
"ASMB","Assembly Biosciences Inc.","NASDAQ Capital Market","Biotechnology","http://www.assemblybio.com","Assembly Biosciences Inc is a clinical stage biotechnology company advancing two innovative platform programs, a new class of oral therapeutics for the treatment of hepatitis B virus infection and novel class of oral synthetic live biotherapeutics.","Derek Small","cs","Healthcare"
"ASNA","Ascena Retail Group Inc.","Nasdaq Global Select","Retail - Apparel & Specialty","http://www.ascenaretail.com","Ascena Retail Group Inc, through its subsidiaries, operates as a specialty retailer of apparel for women and tween girls and boys. The Company offers apparel, accessories, footwear, and lifestyle products, such as bedroom furnishings and electronics.","","cs","Consumer Cyclical"
"ASNS","Arsanis Inc.","NASDAQ Global Market","Biotechnology","http://www.arsanis.com","Arsanis Inc is a biopharmaceutical company. It is engaged in the discovery, development and commercialization of monoclonal antibodies for the targeted immunotherapy of serious infections.","Rene Russo","cs","Healthcare"
"ASPS","Altisource Portfolio Solutions S.A.","Nasdaq Global Select","Business Services","http://www.altisource.com","Altisource Portfolio Solutions SA is a marketplace and transaction solutions provider for the real estate, mortgage and consumer debt industries. It operates in segments including mortgage services, financial services and technology services.","William B. Shepro","cs","Industrials"
"ASRT","Assertio Therapeutics Inc.","Nasdaq Global Select","Drug Manufacturers","https://www.assertiotx.com","Depomed Inc is a specialty pharmaceutical company focused on pain and other conditions and diseases of the central nervous system.","Arthur J. Higgins","cs","Healthcare"
"ASTE","Astec Industries Inc.","Nasdaq Global Select","Farm & Construction Machinery","http://www.astecindustries.com","Astec Industries Inc designs, engineers, manufactures and markets equipment and components used in road building, utility and related construction activities as well as other products. It also serves the energy market by supplying various products.","Benjamin G. Brock","cs","Industrials"
"ASUR","Asure Software Inc","NASDAQ Capital Market","Application Software","http://www.asuresoftware.com","Asure Software Inc provides cloud-based software-as-a-service time and labor management and workspace management solutions. It offers solutions including AsureSpace workplace management solutions and AsureForce time and labor management solutions.","Patrick Goepel","cs","Technology"
"AT","Atlantic Power Corporation (Canada)","New York Stock Exchange","Utilities - Independent Power Producers","http://www.atlanticpower.com","Atlantic Power Corp is an independent electric power producer company that owns and operates a diverse fleet of power generation assets in the United States and Canada.","James J. Moore","cs","Utilities"
"ATEN","A10 Networks Inc.","New York Stock Exchange","Application Software","http://www.a10networks.com","A10 Networks Inc provides application networking technologies. Its solutions enable enterprises, service providers, web giants and government organizations to accelerate, secure and optimize the performance of data center applications and networks.","Lee Chen","cs","Technology"
"ATGE","Adtalem Global Education Inc.","New York Stock Exchange","Education","http://www.adtalem.com","Adtalem Global Education Inc is a provider of educational services. The company offers programs in business, healthcare, professional education, and technology and business.","Lisa W. Wardell","cs","Consumer Defensive"
"ATH","Athene Holding Ltd. Class A","New York Stock Exchange","Insurance","https://www.athene.com","Athene Holding Ltd is a retirement services company that issues, reinsures and acquires retirement savings products designed for the increasing number of individuals and institutions seeking to fund retirement needs.","James R Belardi","cs","Financial Services"
"ATHN","athenahealth Inc.","Nasdaq Global Select","Application Software","http://www.athenahealth.com","athenahealth Inc provides healthcare IT services through cloud-based and mobile application products. Their services include revenue cycle and practice management, electronic health records, patient engagement, and clinical decision support.","","cs","Technology"
"ATHX","Athersys Inc.","NASDAQ Capital Market","Biotechnology","http://www.athersys.com","Athersys Inc is a biopharmaceutical company engaged in the discovery and development of therapeutic product candidates designed to extend and improve the quality of human life.","Gil Van Bokkelen","cs","Healthcare"
"ATI","Allegheny Technologies Incorporated","New York Stock Exchange","Industrial Products","https://www.atimetals.com","Allegheny Technologies Inc is a diversified specialty metals producer. Its products include titanium and titanium alloys, nickel-based alloys and specialty steels, precision forgings, castings and machined components, and zirconium.","Richard J. Harshman","cs","Industrials"
"ATKR","Atkore International Group Inc.","New York Stock Exchange","Industrial Products","http://www.atkore.com","Atkore International Group Inc manufactures Electrical Raceway products for the non-residential construction and renovation markets and Mechanical Products & Solutions for the construction and industrial market.","John P. Williamson","cs","Industrials"
"ATLO","Ames National Corporation","NASDAQ Capital Market","Banks","http://www.amesnational.com","Ames National Corporation is a bank holding company providing savings accounts, demand deposits, money market accounts and loans comprising real estate, residential, equipment and personal and other services.","John P. Nelson","cs","Financial Services"
"ATNI","ATN International Inc.","Nasdaq Global Select","Communication Services","http://www.atni.com","ATN International Inc is a telecommunications and utilities company. It provides telecommunications services to rural, niche and other under-served markets and geographies in the United States, Bermuda and the Caribbean.","Michael T. Prior","cs","Communication Services"
"ATNX","Athenex Inc.","Nasdaq Global Select","Biotechnology","http://www.athenex.com","Athenex Inc is a global biopharmaceutical company dedicated to the discovery, development and commercialization of novel therapies for the treatment of cancer.","Johnson Y.N. Lau","cs","Healthcare"
"ATO","Atmos Energy Corporation","New York Stock Exchange","Utilities - Regulated","http://www.atmosenergy.com","Atmos Energy Corp is engaged in the utilities sector. It distributes natural gas to residential, commercial, public authority & industrial customers.","","cs","Utilities"
"ATR","AptarGroup Inc.","New York Stock Exchange","Packaging & Containers","http://www.aptar.com","AptarGroup, Inc. is a solution provider of packaging delivery solutions for the beauty, personal care, home care, prescription drug, consumer health care, injectables, food and beverage markets.","Stephan Tanda","cs","Consumer Cyclical"
"ATRA","Atara Biotherapeutics Inc.","Nasdaq Global Select","Biotechnology","http://www.atarabio.com","Atara Biotherapeutics Inc is engaged in the development of pharmaceutical products. The company's focus lies on developing therapies addressing serious-life threatening diseases in the United States.","Isaac E. Ciechanover","cs","Healthcare"
"ATRC","AtriCure Inc.","NASDAQ Global Market","Medical Instruments & Equipment","http://www.atricure.com","AtriCure Inc is a medical device company. It develops, manufactures and sells cardiac surgical ablation systems designed to create precise lesions, scars in cardiac, heart, and tissue. It generates revenue by selling disposable surgical devices.","Michael H. Carrel","cs","Healthcare"
"ATRI","Atrion Corporation","Nasdaq Global Select","Medical Instruments & Equipment","http://www.atrioncorp.com","Atrion Corp supplies medical devices and related components. The company makes various products such as fluid delivery devices and sells it worldwide. It aims to serve the patients with heart disease and eye problems.","David A. Battat","cs","Healthcare"
"ATRO","Astronics Corporation","Nasdaq Global Select","Aerospace & Defense","http://www.astronics.com","Astronics Corp supplies products to the aerospace, defense and other industries.The company has two reportable segments namely Aerospace and Test Systems. It generates a majority of its revenue from the Aerospace segment.","Peter J. Gundermann","cs","Industrials"
"ATRS","Antares Pharma Inc.","NASDAQ Capital Market","Medical Instruments & Equipment","http://www.antarespharma.com","Antares Pharma Inc is a specialty pharmaceutical company. It is engaged in developing and commercializing self-administered parenteral pharmaceutical products and technologies including novel, pressure-assisted injectors.","Robert F. Apple","cs","Healthcare"
"ATSG","Air Transport Services Group Inc","Nasdaq Global Select","Transportation & Logistics","http://www.atsginc.com","Air Transport Services Group Inc, through its subsidiaries, provides aircraft leasing, airline operations, aircraft maintenance and other support services to the air cargo transportation and package delivery industries.","Joseph C. Hete","cs","Industrials"
"ATU","Actuant Corporation","New York Stock Exchange","Industrial Products","http://www.actuant.com","Actuant Corp is a diversified industrial company. The company designs, manufactures, and distributes range of industrial products and systems to various markets. It has Industrial, Energy and Engineered solutions segments.","","cs","Industrials"
"ATVI","Activision Blizzard Inc","Nasdaq Global Select","Application Software","http://www.activisionblizzard.com","Activision Blizzard is a developer and publisher of interactive entertainment content and services. It develops and distributes content and services on video game consoles, personal computers, and mobile devices.","Robert A. Kotick","cs","Technology"
"AUBN","Auburn National Bancorporation Inc.","NASDAQ Global Market","Banks","http://www.auburnbank.com","Auburn National Bancorp Inc is the holding company for AuburnBank. It offers checking, savings, transaction deposit accounts and certificates of deposit, and is an active residential mortgage lender in its service area.","Robert W. Dumas","cs","Financial Services"
"AVA","Avista Corporation","New York Stock Exchange","Utilities - Regulated","http://www.avistacorp.com","Avista Corp is engaged in the utilities sector. Its business includes generation, transmission and distribution of natural gas to customers in the United States.","Scott L. Morris","cs","Utilities"
"AVAV","AeroVironment Inc.","Nasdaq Global Select","Aerospace & Defense","http://www.avinc.com","AeroVironment Inc designs, develops, produces, supports and operates technological portfolio of products and services for government agencies. It supplies unmanned aircraft systems, UAS, tactical missile systems and related services.","Wahid Nawabi","cs","Industrials"
"AVB","AvalonBay Communities Inc.","New York Stock Exchange","REITs","http://www.avalonbay.com","AvalonBay Communities Inc operates in the real estate sector. As an investment trust, it develops multifamily communities in the United States.","Timothy J. Naughton","cs","Real Estate"
"AVD","American Vanguard Corporation ($0.10 Par Value)","New York Stock Exchange","Agriculture","http://www.american-vanguard.com","American Vanguard Corp is a specialty chemical manufacturer that develops and markets safe and effective products for agricultural, commercial and commercial uses. It manufactures and formulates chemicals for crops, human and animal protection.","Eric Glenn Wintemute","cs","Basic Materials"
"AVEO","AVEO Pharmaceuticals Inc.","NASDAQ Capital Market","Biotechnology","http://www.aveooncology.com","AVEO Pharmaceuticals Inc is a biopharmaceutical company focused on discovering, developing and commercializing novel cancer therapeutics. The firm offers products such as Tivozanib, Ficlatuzmab, AV-203, AV-380, and AV-353.","Michael P. Bailey","cs","Healthcare"
"AVGO","Broadcom Inc.","Nasdaq Global Select","Semiconductors","https://www.broadcom.com","Broadcom Inc is engaged in designing, developing and supplying analog and digital semiconductor connectivity solutions. Its product portfolio serves wired infrastructure, wireless communications, enterprise storage and industrial and other end markets.","Hock E. Tan","cs","Technology"
"AVHI","A V Homes Inc.","Nasdaq Global Select","Homebuilding & Construction","http://www.avhomesinc.com","A V Homes Inc is engaged in the business of homebuilding, community development in Florida, Texas, Arizona and Carolinas.","Roger A. Cregg","cs","Consumer Cyclical"
"AVID","Avid Technology Inc.","Nasdaq Global Select","Application Software","http://www.avid.com","Avid Technology Inc is a provider of technology solutions. Its products enable the creation and monetization of audio and video content for digital media content production.","Jeff Rosica","cs","Technology"
"AVNS","Avanos Medical Inc.","New York Stock Exchange","Medical Instruments & Equipment","http://www.halyardhealth.com","Halyard Health Inc is a medical technology company which provides healthcare supplies and solutions that target the prevention of healthcare associated infections. Its business segments include Surgical and Infection Prevention and Medical Devices.","Joseph F. Woody","cs","Healthcare"
"AVT","Avnet Inc.","Nasdaq Global Select","Computer Hardware","http://www.avnet.com","Avnet Inc is a value-added distributor of electronic components, enterprise computer and storage products, IT solutions and services and embedded systems. Its business segments are Electronics Marketing and Technology Solutions.","William J. Amelio","cs","Technology"
"AVX","AVX Corporation","New York Stock Exchange","Computer Hardware","http://www.avx.com","AVX Corp manufactures and supplies passive electronic components interconnect devices and related products including ceramic and tantalum capacitors, film capacitors, and other components. It operates majorly in Asia, and rest in the Americas and Europe.","John Sarvis","cs","Technology"
"AVY","Avery Dennison Corporation","New York Stock Exchange","Industrial Products","http://www.averydennison.com","Avery Dennison Corp is a manufacturer of miscellaneous business equipment. It is engaged in the production of pressure-sensitive materials, office products and a variety of tickets, tags, labels and other converted products.","Mitchell R. Butier","cs","Industrials"
"AVYA","Avaya Holdings Corp.","New York Stock Exchange","Business Services","http://www.avaya.com","Avaya Holdings Corp, together with its subsidiaries, provides real-time business collaboration and communications solutions. Its business is segmented into three - Global Communications Solutions, Avaya Networking, and Avaya Global Services.","James M. Chirico","cs","Industrials"
"AWI","Armstrong World Industries Inc","New York Stock Exchange","Building Materials","http://www.armstrong.com","Armstrong World Industries Inc manufactures and sells and designs flooring products and ceiling systems for use in the construction and renovation of residential, commercial and institutional buildings.","Victor D. Grizzle","cs","Basic Materials"
"AWK","American Water Works Company Inc.","New York Stock Exchange","Utilities - Regulated","http://www.amwater.com","American Water Works Co Inc provides water and wastewater services to residential, commercial and industrial customers in the United States and Canada.","Susan N. Story","cs","Utilities"
"AWR","American States Water Company","New York Stock Exchange","Utilities - Regulated","http://www.aswater.com","American States Water Co is engaged in the purchase, production, and distribution of water. It also provides water and/or wastewater services at various military installations. It operates in three segments water, electric and contracted service.","Robert J. Sprowls","cs","Utilities"
"AXAS","Abraxas Petroleum Corporation","NASDAQ Capital Market","Oil & Gas - E&P","http://www.abraxaspetroleum.com","Abraxas Petroleum Corp is an independent energy company engaged in the acquisition, exploitation, development and production of oil and gas in the United States.","Robert L.G. Watson","cs","Energy"
"AXDX","Accelerate Diagnostics Inc.","NASDAQ Capital Market","Medical Diagnostics & Research","http://www.acceleratediagnostics.com","Accelerate Diagnostics Inc is an in vitro diagnostics company, dedicated in providing solutions that improve patient outcomes and lower healthcare costs through the rapid diagnosis of serious infections.","Lawrence Mehren","cs","Healthcare"
"AXE","Anixter International Inc.","New York Stock Exchange","Industrial Distribution","http://www.anixter.com","Anixter International Inc is a value-added distributor of communications and security, electrical wire, and cable products and fasteners.","William A. Galvin","cs","Industrials"
"AXGN","AxoGen Inc.","NASDAQ Capital Market","Medical Devices","http://www.axogeninc.com","AxoGen Inc is a medical technology company dedicated to peripheral nerve repair. It provide products and education to improve surgical treatment algorithms for peripheral nerve injuries.","Karen Zaderej","cs","Healthcare"
"AXL","American Axle & Manufacturing Holdings Inc.","New York Stock Exchange","Autos","http://www.aam.com","American Axle & Mfg Holdings Inc manufactures, engineers, designs and validates driveline systems and drivetrain components and chassis modules. Its products are mostly used in light trucks, Sports Utility Vehicles, commercial vehicles and passenger cars.","David C. Dauch","cs","Consumer Cyclical"
"AXP","American Express Company","New York Stock Exchange","Credit Services","http://www.americanexpress.com","American Express Co is a payments, network and travel company. It provides charge and credit card products, travel services, network services, stored value products, loans, and other products and services to businesses and individuals.","Stephen J. Squeri","cs","Financial Services"
"AXS","Axis Capital Holdings Limited","New York Stock Exchange","Insurance - Property & Casualty","http://www.axiscapital.com","Axis Capital Holdings Ltd is a global property and casualty insurance company. The firm along with its subsidiaries provides its clients and distribution partners with various products and services around the world.","Albert A. Benchimol","cs","Financial Services"
"AXTA","Axalta Coating Systems Ltd.","New York Stock Exchange","Chemicals","http://www.axaltacs.com","Axalta Coating Systems Ltd is a manufacturer, marketer, and distributor of high-performance coatings systems. It operates its business in two segments, performance coatings, and transportation coatings.","Charles W. Shaver","cs","Basic Materials"
"AXTI","AXT Inc","Nasdaq Global Select","Semiconductors","http://www.axt.com","AXT Inc is a developer and producer of high-performance compound and single element semiconductor substrates known as wafers. It provides such alternative or specialty materials in the form of substrates or wafers, compound, and substrates.","Morris S. Young","cs","Technology"
"AYI","Acuity Brands Inc (Holding Company)","New York Stock Exchange","Computer Hardware","http://www.acuitybrands.com","Acuity Brands Inc through its subsidiaries provides lighting and building management solutions and services for commercial, institutional, industrial, and residential applications. Its products include luminaires, lighting controls and components etc.","Vernon J. Nagel","cs","Technology"
"AYR","Aircastle Limited","New York Stock Exchange","Consulting & Outsourcing","http://www.aircastle.com","Aircastle Ltd is a holding company. It mainly invests in aviation assets, including acquiring, leasing, managing and selling high-utility commercial jet aircraft.","Michael Inglese","cs","Industrials"
"AYX","Alteryx Inc. Class A","New York Stock Exchange","Application Software","http://www.alteryx.com","Alteryx Inc is an American provider of self-service data analytics software. Its subscription-based platform allows organizations to easily prepare, blend, and analyze data from a multitude of sources and more quickly benefit from data-driven decisions.","Dean A. Stoecker","cs","Technology"
"AZO","AutoZone Inc.","New York Stock Exchange","Retail - Apparel & Specialty","http://www.autozone.com","AutoZone Inc is a retailer and distributor of automotive replacement parts in the United States. The company's store sell a diverse range of essentials and auto parts for cars, sport utility vehicles, vans and light trucks.","","cs","Consumer Cyclical"
"AZPN","Aspen Technology Inc.","Nasdaq Global Select","Application Software","http://www.aspentech.com","Aspen Technology Inc is engaged in providing process optimization and asset performance management software solutions. It has two operating segments including subscription and software and services.","Antonio J. Pietri","cs","Technology"
"AZZ","AZZ Inc.","New York Stock Exchange","Industrial Products","http://www.azz.com","AZZ Inc is a provider of specialized products and services designed to support industrial, nuclear and electrical applications. The Company's business segments are Energy and Metal Coating.","Thomas E. Ferguson","cs","Industrials"
"B","Barnes Group Inc.","New York Stock Exchange","Industrial Products","http://www.barnesgroupinc.com","Barnes Group Inc is engaged in the aerospace industry and provides industrial services. The company provides engineered products for aircraft, technologies, and solutions.","Patrick J. Dempsey","cs","Industrials"
"BA","The Boeing Company","New York Stock Exchange","Aerospace & Defense","http://www.boeing.com","Boeing Co designs, develops, manufactures, sells, services and supports commercial jetliners, military aircraft, satellites, missile defense, human space flight and launch systems and services.","Dennis A. Muilenburg","cs","Industrials"
"BABY","Natus Medical Incorporated","Nasdaq Global Select","Medical Devices","http://www.natus.com","Natus Medical Inc provides newborn care, neurology healthcare products and services used for screening, diagnosis, detection, treatment, monitoring and tracking of medical ailments in newborn care, epilepsy, and balance and mobility disorders.","Jonathan A. Kennedy","cs","Healthcare"
"BAC","Bank of America Corporation","New York Stock Exchange","Banks","http://www.bankofamerica.com","Bank of America Corporation is a bank holding and a financial holding company. The company provides financial products and services to people, companies and institutional investors.","Brian T. Moynihan","cs","Financial Services"
"BAH","Booz Allen Hamilton Holding Corporation","New York Stock Exchange","Business Services","http://www.boozallen.com","Booz Allen Hamilton Holding Corp provides management and technology consulting, engineering, analytics, digital solutions, and cyber expertise to U.S. and international governments, major corporations, and not-for-profit organizations.","Horacio Rozanski","cs","Industrials"
"BANC","Banc of California Inc.","New York Stock Exchange","Banks","https://www.bancofcal.com","Banc of California Inc is a is a financial holding company. It offers banking and financial services. Its services include banking services, lending services and private banking services.","Douglas H. Bowers","cs","Financial Services"
"BANF","BancFirst Corporation","Nasdaq Global Select","Banks","http://www.bancfirst.com","BancFirst Corp through its subsidiaries provides retail & commercial banking services; It also offers trust services & acts as executor, administrator, trustee, transfer agent & provides item processing, research & other fiduciary services.","David R. Harlow","cs","Financial Services"
"BANR","Banner Corporation","Nasdaq Global Select","Banks","http://www.banrbank.com","Banner Corp operates through the Banner Bank and Islanders Bank. It provides commercial banking services and financial products to individuals, businesses, and public sector entities in its primary market areas.","Mark J. Grescovich","cs","Financial Services"
"BAS","Basic Energy Services Inc.","New York Stock Exchange","Oil & Gas - Services","http://www.basicenergyservices.com","Basic Energy Services Inc provides well site services to oil and natural gas drilling and producing companies. Its operations are grouped into Completion and Remedial Services, Fluid Services, Well Servicing, and Contract Drilling.","Thomas Monroe Patterson","cs","Energy"
"BATRA","Liberty Media Corporation Series A Liberty Braves Common Stock","Nasdaq Global Select","Entertainment","http://www.libertymedia.com","Liberty Braves Group through its subsidiary indirectly owns the Atlanta Braves Major League Baseball club, the Atlanta Braves' stadium and associated real estate projects.","","cs","Consumer Cyclical"
